Name,Organization,Project
Ajay Arasanipalai,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Sidharth Mundhra,SymPy,SymPy is a Python library for symbolic mathematics. It is a full-featured computer algebra system (CAS). SymPy is written entirely in Python.
Zyad Ali,gVisor,"gVisor is an application kernel, written in Go, that provides an isolation boundary between the application and the host kernel."
Dinesh Chidipothu,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Yi FENG,Halide,Halide is a programming language designed to make it easier to write high-performance image and array processing code on modern machines.
Pranav Bhatt,JBoss Community,JBoss Community is a community of open source projects around JBoss middleware
Mritunjay Sharma,CNCF,Building sustainable ecosystems for cloud native software
Mohamed Soudy-1,National Resource for Network Biology (NRNB),"The National Resource for Network Biology (NRNB) organizes the development of free, open source software to enable network-based visualization, analysis, and biomedical discovery."
Varun Tiwari,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace"
Mohit Singh,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC"
Mark Joseph Kuebel,Gentoo Foundation,"Flexible, source-based Linux distribution which becomes just about any system you need — and much more."
Bruno Messias,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Midhun Suresh R,Matrix.org,"An open network for secure, decentralized communication"
Priyam Seth,Zulip,"Zulip is a powerful, open source group chat application with a unique threading model.  Zulip has invested extensively in tooling designed to give contributors a great experience."
Avinal,FOSSology,"FOSSology is an open source license compliance software system and toolkit. License, copyright and export scanners are tools used in the workflow."
Arvind Ganesh,The Julia Language,A fresh approach to Technical Computing
Michał Łukomski,The Julia Language,A fresh approach to Technical Computing
Aditi Sawant,Mayor's Office of New Urban Mechanics (City of Boston),The Mayor's Office of New Urban Mechanics is a civic research and development incubator in Boston.
